athlete_id,full_name,sex,birth_year,height,weight,score,date_valid_from,date_valid_to,status,sid
346,Shaza Yahia Nazih Abdulrahman El-Sayed,F,1993,170.0,59.0,4,2022-06-11 00:00:00,9999-12-31,1,128
350,Mohamed Abdultwab Ibrahim Abd El-Baki,M,1987,162.0,69.0,3,2022-06-11 00:00:00,9999-12-31,1,129
351,Julius Shareef Abdur-Rahim,M,1977,202.0,104.0,5,2022-06-11 00:00:00,9999-12-31,1,130
352,Sherzod Abdurahmonov,M,1982,178.0,73.0,4,2022-06-11 00:00:00,9999-12-31,1,131
353,Rasul Abduraim,M,1989,183.0,74.0,2,2022-06-11 00:00:00,9999-12-31,1,132
357,Yusup Abdusalomov,M,1978,170.0,84.0,4,2022-06-11 00:00:00,9999-12-31,1,133
359,Andrey Khakimovich Abduvaliyev,M,1966,190.0,125.0,5,2022-06-11 00:00:00,9999-12-31,1,134
361,Aybek Abdymomunov,M,1986,162.0,54.0,4,2022-06-11 00:00:00,9999-12-31,1,135
371,Shinnosuke Abe,M,1979,179.0,91.0,1,2022-06-11 00:00:00,9999-12-31,1,136
376,Yoshiyuki Abe,M,1969,175.0,67.0,4,2022-06-11 00:00:00,9999-12-31,1,137
377,Yuki Abe,M,1982,177.0,75.0,4,2022-06-11 00:00:00,9999-12-31,1,138
382,Soha Abed Elaal,F,1973,,,5,2022-06-11 00:00:00,9999-12-31,1,139
383,Mojtaba Abedini Shormasti,M,1985,180.0,83.0,3,2022-06-11 00:00:00,9999-12-31,1,140
387,Sonia Abejn Esteban,F,1985,169.0,48.0,1,2022-06-11 00:00:00,9999-12-31,1,141
390,Brooke Abel,F,1988,163.0,52.0,4,2022-06-11 00:00:00,9999-12-31,1,142
395,Jennifer Abel,F,1992,160.0,62.0,4,2022-06-11 00:00:00,9999-12-31,1,143
396,Katja Abel,F,1983,165.0,55.0,5,2022-06-11 00:00:00,9999-12-31,1,144
397,Mara Abel Diguez,F,1975,163.0,46.0,1,2022-06-11 00:00:00,9999-12-31,1,145
400,Yaritza Abel Rojas,F,1984,,62.0,2,2022-06-11 00:00:00,9999-12-31,1,146
402,Arthur Abele,M,1986,184.0,85.0,2,2022-06-11 00:00:00,9999-12-31,1,147
411,Gezahgne Abera,M,1978,166.0,58.0,2,2022-06-11 00:00:00,9999-12-31,1,148
421,Mohamed Aberhoune,M,1989,187.0,75.0,3,2022-06-11 00:00:00,9999-12-31,1,149
422,"Julianne ""Anne"" Abernathy",F,1954,165.0,75.0,5,2022-06-11 00:00:00,9999-12-31,1,150
423,Michael Brent Abernathy,M,1978,182.0,84.0,4,2022-06-11 00:00:00,9999-12-31,1,151
428,Elvan Abeylegesse,F,1983,159.0,40.0,2,2022-06-11 00:00:00,9999-12-31,1,152
429,Ruwani Abeymanne,F,1970,160.0,53.0,5,2022-06-11 00:00:00,9999-12-31,1,153
432,Koutoua Francis Abia,M,1966,180.0,80.0,1,2022-06-11 00:00:00,9999-12-31,1,154
433,Pablo Abin Vicen,M,1985,177.0,68.0,4,2022-06-11 00:00:00,9999-12-31,1,155
439,Sagat Abikeyeva,F,1981,160.0,78.0,4,2022-06-11 00:00:00,9999-12-31,1,156
440,Mitsuhiro Abiko,M,1989,169.0,62.0,4,2022-06-11 00:00:00,9999-12-31,1,157
441,Tomomi Abiko,F,1988,173.0,53.0,3,2022-06-11 00:00:00,9999-12-31,1,158
444,Camille Anne Franoise Abily,F,1985,168.0,60.0,2,2022-06-11 00:00:00,9999-12-31,1,159
445,Endurance Abinuwa,F,1988,159.0,54.0,3,2022-06-11 00:00:00,9999-12-31,1,160
449,Inga Eduardovna Abitova,F,1982,164.0,58.0,1,2022-06-11 00:00:00,9999-12-31,1,161
450,Ceyhun Abiyev,M,1975,163.0,48.0,3,2022-06-11 00:00:00,9999-12-31,1,162
452,Enver Nazymovych Ablaiev,M,1980,169.0,68.0,1,2022-06-11 00:00:00,9999-12-31,1,163
455,Denis Mikhaylovich Ablyazin,M,1993,161.0,62.0,2,2022-06-11 00:00:00,9999-12-31,1,164
459,Bukola Dammy Abogunloko,F,1995,170.0,53.0,2,2022-06-11 00:00:00,9999-12-31,1,165
463,Agnese boltia,F,1997,166.0,60.0,1,2022-06-11 00:00:00,9999-12-31,1,166
471,Ashraf Abou El-Hassan,M,1975,186.0,86.0,1,2022-06-11 00:00:00,9999-12-31,1,167
