event_id;sport_type;sport_name;event_name
103;Group;Weightlifting;Weightlifting Women's Heavyweight
104;Group;Weightlifting;Weightlifting Men's Featherweight
105;Group;Weightlifting;Weightlifting Men's Lightweight
106;Individual;Boxing;Boxing Men's Middleweight
107;Group;Taekwondo;Taekwondo Men's Featherweight
108;Group;Taekwondo;Taekwondo Men's Welterweight
109;Individual;Athletics;Athletics Men's Hammer Throw
110;Individual;Boxing;Boxing Men's Bantamweight
111;Group;Baseball;Baseball Men's Baseball
112;Individual;Fencing;Fencing Men's Sabre, Individual
113;Individual;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group
114;Individual;Diving;Diving Women's Springboard
115;Individual;Diving;Diving Women's Synchronized Springboard
116;Individual;Gymnastics;Gymnastics Women's Individual All-Around
117;Individual;Gymnastics;Gymnastics Women's Team All-Around
118;Individual;Gymnastics;Gymnastics Women's Floor Exercise
119;Individual;Gymnastics;Gymnastics Women's Uneven Bars
120;Individual;Gymnastics;Gymnastics Women's Balance Beam
121;Individual;Athletics;Athletics Women's 10,000 metres
122;Individual;Judo;Judo Women's Half-Middleweight
123;Individual;Athletics;Athletics Men's Decathlon
124;Individual;Luge;Luge Women's Singles
125;Individual;Athletics;Athletics Women's 1,500 metres
126;Group;Shooting;Shooting Women's Air Pistol, 10 metres
127;Group;Shooting;Shooting Women's Sporting Pistol, 25 metres
128;Individual;Canoeing;Canoeing Men's Kayak Singles, 500 metres
129;Individual;Canoeing;Canoeing Men's Kayak Singles, 1,000 metres
130;Individual;Judo;Judo Women's Half-Heavyweight
131;Individual;Athletics;Athletics Men's 4 x 400 metres Relay
132;Individual;Athletics;Athletics Women's Pole Vault
133;Group;Football;Football Women's Football
134;Individual;Athletics;Athletics Women's 4 x 100 metres Relay
135;Individual;Freestyle Skiing;Freestyle Skiing Men's Aerials
136;Individual;Gymnastics;Gymnastics Men's Team All-Around
137;Individual;Gymnastics;Gymnastics Men's Floor Exercise
138;Individual;Gymnastics;Gymnastics Men's Horizontal Bar
139;Individual;Athletics;Athletics Women's 4 x 400 metres Relay
140;Individual;Alpine Skiing;Alpine Skiing Women's Super G
141;Individual;Alpine Skiing;Alpine Skiing Women's Giant Slalom
142;Group;Wrestling;Wrestling Men's Bantamweight, Greco-Roman
143;Individual;Athletics;Athletics Men's 400 metres Hurdles
144;Individual;Athletics;Athletics Men's Triple Jump
145;Individual;Fencing;Fencing Men's Foil, Individual
146;Individual;Fencing;Fencing Men's Foil, Team
147;Individual;Judo;Judo Men's Half-Middleweight
148;Individual;Biathlon;Biathlon Men's 10 kilometres Sprint
149;Individual;Biathlon;Biathlon Men's 12.5 kilometres Pursuit
150;Individual;Biathlon;Biathlon Men's 20 kilometres
151;Individual;Biathlon;Biathlon Men's 4 x 7.5 kilometres Relay
152;Individual;Biathlon;Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay
153;Individual;Archery;Archery Men's Individual
154;Individual;Archery;Archery Men's Team
155;Group;Speed Skating;Speed Skating Women's 1,000 metres
156;Group;Speed Skating;Speed Skating Women's 1,500 metres
157;Group;Speed Skating;Speed Skating Women's Team Pursuit (6 laps)
158;Group;Cross Country Skiing;Cross Country Skiing Men's Sprint
159;Group;Bobsleigh;Bobsleigh Men's Two
160;Group;Bobsleigh;Bobsleigh Men's Four
161;Individual;Athletics;Athletics Men's 200 metres
162;Group;Speed Skating;Speed Skating Men's 500 metres
163;Group;Speed Skating;Speed Skating Men's 1,000 metres
164;Group;Beach Volleyball;Beach Volleyball Men's Beach Volleyball
165;Individual;Cycling;Cycling Women's Mountainbike, Cross-Country
166;Individual;Cycling;Cycling Men's Mountainbike, Cross-Country
167;Individual;Judo;Judo Men's Lightweight
168;Group;Swimming;Swimming Men's 200 metres Individual Medley
169;Group;Swimming;Swimming Men's 100 metres Backstroke
170;Individual;Athletics;Athletics Men's 400 metres
171;Individual;Athletics;Athletics Women's 800 metres
172;Individual;Athletics;Athletics Women's 400 metres
173;Group;Swimming;Swimming Men's 400 metres Freestyle
174;Group;Triathlon;Triathlon Women's Olympic Distance
175;Group;Table Tennis;Table Tennis Men's Singles
176;Group;Rowing;Rowing Women's Coxed Eights
177;Group;Nordic Combined;Nordic Combined Men's Team
178;Group;Nordic Combined;Nordic Combined Men's Individual
179;Group;Nordic Combined;Nordic Combined Men's Sprint
180;Individual;Athletics;Athletics Men's 4 x 100 metres Relay
181;Group;Weightlifting;Weightlifting Women's Middleweight
182;Individual;Boxing;Boxing Men's Heavyweight
183;Individual;Alpine Skiing;Alpine Skiing Women's Combined
184;Individual;Athletics;Athletics Women's High Jump
